0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,2
3,0,0,0,0,3
5,0,1,0,0,4
7,0,2,0,0,5
9,0,3,0,0,6
11,0,4,0,0,7
13,0,5,0,0,8
15,0,6,0,0,9
16,0,6,0,0,10
17,0,6,0,0,11
18,0,6,0,0,12
21,0,7,0,1,13
24,0,8,0,2,14
27,0,9,0,3,15
30,0,10,0,4,16
32,0,11,0,4,17
34,0,12,0,4,18
36,0,13,0,4,19
38,0,14,0,4,20
39,0,15,0,4,20
39,0,15,0,4,20
40,0,15,0,4,21
41,0,15,0,4,22
42,0,15,0,4,23
43,0,15,0,4,24
44,0,15,0,4,25
46,0,16,0,4,26
48,0,17,0,4,27
51,0,18,0,5,28
54,0,19,0,6,29
55,0,19,0,7,29
56,0,19,0,8,29
57,0,19,0,9,29
58,0,19,0,10,29
59,0,19,0,11,29
61,0,20,0,12,29
63,0,21,0,13,29
65,0,22,0,14,29
67,0,23,0,15,29
69,0,24,0,16,29
71,0,25,0,17,29
73,0,26,0,18,29
75,0,27,0,19,29
78,0,28,1,20,29
81,0,29,2,21,29
84,0,30,3,22,29
87,0,31,4,23,29
90,0,32,5,24,29
93,0,33,6,25,29
96,0,34,7,26,29
99,0,35,8,27,29
100,0,35,9,27,29
101,0,35,10,27,29
102,0,35,11,27,29
103,0,35,12,27,29
104,0,35,13,27,29
105,0,35,14,27,29
107,0,36,15,27,29
109,0,37,16,27,29
111,0,38,17,27,29
113,0,39,18,27,29
118,0,41,19,29,29
123,0,43,20,31,29
128,0,45,21,33,29
133,0,47,22,35,29
138,0,49,23,37,29
143,0,51,24,39,29
148,0,53,25,41,29
153,0,55,26,43,29
158,0,57,27,45,29
164,0,59,28,47,30
170,0,61,29,49,31
172,0,61,30,50,31
174,0,61,31,51,31
176,0,61,32,52,31
179,0,61,33,53,32
182,0,61,34,54,33
185,0,61,35,55,34
188,0,61,36,56,35
191,0,61,37,57,36
195,0,62,38,58,37
199,0,63,39,59,38
203,0,64,40,60,39
207,0,65,41,61,40
210,0,65,42,62,41
213,0,65,43,63,42
216,0,65,44,64,43
219,0,65,45,65,44
222,0,65,46,66,45
225,0,65,47,67,46
228,0,65,48,68,47
231,0,65,49,69,48
234,0,65,50,70,49
237,0,65,51,71,50
241,0,66,52,72,51
245,0,67,53,73,52
247,0,67,54,73,53
249,0,67,55,73,54
251,0,67,56,73,55
253,0,67,57,73,56
254,0,67,57,73,57
255,0,67,57,73,58
256,0,67,57,73,59
257,0,67,57,73,60
258,0,67,57,73,61
259,0,67,57,73,62
260,0,67,57,73,63
261,0,67,57,73,64
262,0,67,57,73,65
263,0,68,57,73,65
263,0,68,57,73,65
263,0,68,57,73,65
264,0,68,57,74,65
265,0,68,57,75,65
266,0,68,57,76,65
267,0,68,57,77,65
268,0,68,57,78,65
269,0,68,57,79,65
270,0,68,57,80,65
272,0,69,57,81,65
274,0,70,57,82,65
276,0,71,57,83,65
278,0,72,57,84,65
280,0,73,57,85,65
282,0,74,57,86,65
284,0,75,57,87,65
286,0,76,57,88,65
288,0,77,57,89,65
290,0,78,57,90,65
292,0,79,57,91,65
295,0,80,57,92,66
298,0,81,57,93,67
301,0,82,57,94,68
304,0,83,57,95,69
307,0,84,57,96,70
310,0,85,57,97,71
313,0,86,57,98,72
316,0,87,57,99,73
319,0,88,57,100,74
322,0,89,57,101,75
325,0,90,57,102,76
328,0,91,57,103,77
331,0,92,57,104,78
334,0,93,57,105,79
337,0,94,57,106,80
340,0,95,57,107,81
343,0,96,57,108,82
346,0,97,57,109,83
349,0,98,57,110,84
352,0,99,57,111,85
355,0,100,57,112,86
358,0,101,57,113,87
361,0,102,57,114,88
363,0,103,57,115,88
365,0,104,57,116,88
367,0,105,57,117,88
369,0,106,57,118,88
370,0,107,57,118,88
371,0,108,57,118,88
372,0,109,57,118,88
373,0,110,57,118,88
373,0,110,57,118,88
373,0,110,57,118,88
374,0,110,58,118,88
376,0,110,59,119,88
378,0,110,60,120,88
380,0,110,61,121,88
382,0,110,62,122,88
385,0,110,63,123,89
387,0,110,64,124,89
389,0,110,65,125,89
391,0,110,66,126,89
393,0,110,67,127,89
395,0,110,68,128,89
397,0,110,69,129,89
399,0,110,70,130,89
401,0,110,71,131,89
403,0,110,72,132,89
405,0,110,73,133,89
407,0,110,74,134,89
410,0,111,75,135,89
414,0,112,76,136,90
418,0,113,77,137,91
422,0,114,78,138,92
426,0,115,79,139,93
430,0,116,80,140,94
434,0,117,81,141,95
438,0,118,82,142,96
442,0,119,83,143,97
446,0,120,84,144,98
450,0,121,85,145,99
453,0,122,85,146,100
456,0,123,86,147,100
459,0,124,87,148,100
462,0,125,88,149,100
464,0,126,89,149,100
465,0,126,90,149,100
466,0,126,91,149,100
